130	130	130	130	130	130	130	130	130	130	130	130	
130	130	130	130	130	130	130	130	130	130	130	130	
10	10	10	10	10	10	10	10	10	10	117	10	
7	7	7	7	7	7	7	7	7	45	7	7	
81	81	81	81	81	81	81	81	81	81	73	81	
22	22	22	22	22	22	22	22	22	58	22	22	
6	6	6	6	6	6	6	6	6	114	77	6	
7	7	7	7	7	7	7	7	7	45	34	7	
64	64	64	64	64	64	64	64	64	64	3	64	
9	9	9	9	9	9	9	9	9	1	111	9	
10	10	10	10	10	10	10	10	10	27	117	10	
97	97	97	97	97	97	97	97	97	97	96	97	
128	128	128	128	128	128	128	128	128	128	58	128	
13	13	13	13	13	13	13	13	13	108	108	13	
128	128	128	128	128	128	128	128	128	16	128	128	
99	99	99	99	99	99	99	99	99	129	99	99	
127	127	127	127	127	127	127	127	127	127	58	127	
24	24	24	24	24	24	24	24	24	105	24	24	
18	18	18	18	18	18	18	18	18	125	80	18	
19	19	19	19	19	19	19	19	19	25	113	19	
20	20	20	20	20	20	20	20	20	12	58	20	
21	21	21	21	21	21	21	21	21	112	23	21	
22	22	22	22	22	22	22	22	22	58	74	22	
39	39	39	39	39	39	39	39	39	92	39	39	
24	24	24	24	24	24	24	24	24	105	31	24	
13	13	13	13	13	13	13	13	13	13	108	13	
26	26	26	26	26	26	26	26	26	8	95	26	
33	33	33	33	33	33	33	33	33	33	103	33	
28	28	28	28	28	28	28	28	28	4	102	28	
29	29	29	29	29	29	29	29	29	31	31	29	
30	30	30	30	30	30	30	30	30	75	86	30	
71	71	71	71	71	71	71	71	71	71	71	71	
47	47	47	47	47	47	47	47	47	47	91	47	
33	33	33	33	33	33	33	33	33	83	103	33	
85	85	85	85	85	85	85	85	85	82	85	85	
127	127	127	127	127	127	127	127	127	62	127	127	
99	99	99	99	99	99	99	99	99	99	90	99	
48	48	48	48	48	48	48	48	48	48	69	48	
119	119	119	119	119	119	119	119	119	119	14	119	
39	39	39	39	39	39	39	39	39	92	79	39	
81	81	81	81	81	81	81	81	81	98	81	81	
41	41	41	41	41	41	41	41	41	38	54	41	
42	42	42	42	42	42	42	42	42	61	120	42	
70	70	70	70	70	70	70	70	70	70	35	70	
19	19	19	19	19	19	19	19	19	25	19	19	
39	39	39	39	39	39	39	39	39	39	79	39	
46	46	46	46	46	46	46	46	46	36	40	46	
47	47	47	47	47	47	47	47	47	78	91	47	
48	48	48	48	48	48	48	48	48	0	69	48	
106	106	106	106	106	106	106	106	106	32	106	106	
50	50	50	50	50	50	50	50	50	58	5	50	
60	60	60	60	60	60	60	60	60	60	60	60	
52	52	52	52	52	52	52	52	52	31	84	52	
53	53	53	53	53	53	53	53	53	37	15	53	
20	20	20	20	20	20	20	20	20	12	20	20	
18	18	18	18	18	18	18	18	18	18	80	18	
41	41	41	41	41	41	41	41	41	38	41	41	
57	57	57	57	57	57	57	57	57	55	49	57	
115	115	115	115	115	115	115	115	115	115	115	115	
119	119	119	119	119	119	119	119	119	43	119	119	
60	60	60	60	60	60	60	60	60	116	123	60	
19	19	19	19	19	19	19	19	19	19	113	19	
88	88	88	88	88	88	88	88	88	88	58	88	
63	63	63	63	63	63	63	63	63	72	67	63	
64	64	64	64	64	64	64	64	64	110	3	64	
22	22	22	22	22	22	22	22	22	22	74	22	
50	50	50	50	50	50	50	50	50	58	50	50	
130	130	130	130	130	130	130	130	130	130	130	130	
52	52	52	52	52	52	52	52	52	31	52	52	
9	9	9	9	9	9	9	9	9	1	9	9	
70	70	70	70	70	70	70	70	70	65	35	70	
71	71	71	71	71	71	71	71	71	11	104	71	
42	42	42	42	42	42	42	42	42	42	120	42	
42	42	42	42	42	42	42	42	42	61	42	42	
88	88	88	88	88	88	88	88	88	58	88	88	
130	130	130	130	130	130	130	130	130	130	130	130	
106	106	106	106	106	106	106	106	106	106	59	106	
28	28	28	28	28	28	28	28	28	4	28	28	
50	50	50	50	50	50	50	50	50	50	5	50	
107	107	107	107	107	107	107	107	107	126	107	107	
47	47	47	47	47	47	47	47	47	78	47	47	
81	81	81	81	81	81	81	81	81	98	73	81	
107	107	107	107	107	107	107	107	107	107	31	107	
122	122	122	122	122	122	122	122	122	122	68	122	
93	93	93	93	93	93	93	93	93	31	93	93	
85	85	85	85	85	85	85	85	85	82	31	85	
13	13	13	13	13	13	13	13	13	108	13	13	
26	26	26	26	26	26	26	26	26	8	26	26	
88	88	88	88	88	88	88	88	88	58	58	88	
7	7	7	7	7	7	7	7	7	7	34	7	
