0	0	0	133	0	0	0	0	117	0	0	0	
1	1	1	1	1	1	190	50	1	1	1	1	
2	2	2	2	74	2	218	2	2	2	2	2	
3	3	3	3	3	311	3	3	41	3	3	3	
4	4	4	4	4	395	4	4	125	4	4	4	
5	5	5	5	284	5	5	176	5	5	5	5	
6	6	6	6	6	22	6	6	415	6	6	6	
7	7	7	7	343	7	7	7	379	7	7	7	
8	8	8	127	8	8	8	8	173	8	8	8	
9	9	9	9	169	9	9	164	9	9	9	9	
10	10	10	85	10	10	10	10	315	10	10	10	
11	11	11	91	11	11	11	11	455	11	11	11	
12	12	12	379	12	12	12	12	229	12	12	12	
13	13	13	13	42	13	13	13	271	13	13	13	
14	14	14	268	14	14	173	14	14	14	14	14	
15	15	15	15	178	15	15	15	92	15	15	15	
16	16	16	16	16	227	16	16	485	16	16	16	
17	17	17	17	17	268	438	17	17	17	17	17	
18	18	18	18	18	18	159	18	18	18	18	18	
19	19	19	202	19	19	19	19	47	19	19	19	
20	20	20	20	20	58	20	20	275	20	20	20	
21	21	21	340	21	300	21	21	21	21	21	21	
22	22	22	22	22	22	11	22	167	22	22	22	
23	23	23	23	23	452	23	348	23	23	23	23	
24	24	24	24	24	325	24	24	369	24	24	24	
25	25	25	25	25	63	25	182	25	25	25	25	
26	26	26	101	26	26	26	26	295	26	26	26	
27	27	27	404	27	102	27	27	27	27	27	27	
28	28	28	394	28	48	28	28	28	28	28	28	
29	29	29	29	29	65	29	29	105	29	29	29	
30	30	30	227	265	30	30	30	30	30	30	30	
31	31	31	181	31	31	31	296	31	31	31	31	
32	32	32	32	147	32	32	32	294	32	32	32	
33	33	33	258	103	33	33	33	33	33	33	33	
34	34	34	34	34	34	302	34	102	34	34	34	
35	35	35	35	35	227	464	35	35	35	35	35	
36	36	36	36	36	50	36	36	115	36	36	36	
37	37	37	37	37	61	37	37	399	37	37	37	
38	38	38	38	38	38	190	38	38	38	38	38	
39	39	39	39	257	39	39	234	39	39	39	39	
40	40	40	40	40	339	40	199	40	40	40	40	
41	41	41	41	41	335	41	41	352	41	41	41	
42	42	42	42	42	365	42	42	135	42	42	42	
43	43	43	43	43	43	159	65	43	43	43	43	
44	44	44	276	44	445	44	44	44	44	44	44	
45	45	45	45	35	45	119	45	45	45	45	45	
46	46	46	46	269	46	46	46	359	46	46	46	
47	47	47	425	47	47	47	47	351	47	47	47	
48	48	48	313	48	48	351	48	48	48	48	48	
49	49	49	384	49	49	270	49	49	49	49	49	
50	50	50	50	50	50	449	50	180	50	50	50	
51	51	51	51	51	51	146	51	165	51	51	51	
52	52	52	52	115	52	52	52	352	52	52	52	
53	53	53	53	394	53	39	53	53	53	53	53	
54	54	54	54	157	54	54	54	33	54	54	54	
55	55	55	55	55	55	198	55	55	55	55	55	
56	56	56	56	56	56	471	88	56	56	56	56	
57	57	57	258	57	57	57	57	57	57	57	57	
58	58	58	58	58	58	79	58	100	58	58	58	
59	59	59	59	59	384	386	59	59	59	59	59	
60	60	60	60	322	60	308	60	60	60	60	60	
61	61	61	61	61	61	296	61	70	61	61	61	
